rollouts,families,branch_accuracy,state_readiness_accuracy,transition_precondition_precision,transition_effect_precision,goal_precision,goal_recall,false_ready_rate,unnecessary_manipulation_rate,failure_denominator,failure_recall,recovery_denominator,recovery_recall,unknown_rate,ambiguous_edge_rate,graph_completion_coverage,second_view_query_rate,graph_id,root_family_id,selection_score
4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0,,0,,0.023872679045092837,0.0,0.92,0.0,G0_coarse_direct,L2D_00_00_220710,0.6781636400734544
4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0,,0,,0.08753315649867374,0.0,0.92,0.0,G0_coarse_direct,L2D_00_01_220710,0.6732666802693328
4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0,,0,,0.08753315649867374,0.0,0.92,0.0,G0_coarse_direct,L2D_00_02_220710,0.6732666802693328
4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0,,0,,0.08488063660477453,0.0,0.92,0.0,G0_coarse_direct,L2D_00_03_220710,0.6734707202611712
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,,0,,0.04433497536945813,0.0,0.55,0.0,G0_coarse_direct,L2D_01_00_220710,0.21826178747361014
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,,0,,0.04433497536945813,0.0,0.55,0.0,G0_coarse_direct,L2D_01_01_220710,0.21826178747361014
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,,0,,0.04433497536945813,0.0,0.55,0.0,G0_coarse_direct,L2D_01_02_220710,0.21826178747361014
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,,0,,0.04433497536945813,0.0,0.55,0.0,G0_coarse_direct,L2D_01_03_220710,0.21826178747361014
4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0,,0,,0.08753315649867374,0.0,0.92,0.0,G0_coarse_direct,L2D_02_00_220710,0.6732666802693328
4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0,,0,,0.08753315649867374,0.0,0.92,0.0,G0_coarse_direct,L2D_02_01_220710,0.6732666802693328
4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0,,0,,0.05305039787798409,0.0,0.92,0.0,G0_coarse_direct,L2D_02_02_220710,0.675919200163232
4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0,,0,,0.08753315649867374,0.0,0.92,0.0,G0_coarse_direct,L2D_02_03_220710,0.6732666802693328
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,4,0.0,4,0.0,0.07881773399014778,0.0,0.55,0.0,G0_coarse_direct,L2D_03_00_220710,0.21164117189525536
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,4,0.0,4,0.0,0.022167487684729065,0.0,0.55,0.0,G0_coarse_direct,L2D_03_01_220710,0.2146227638060669
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,4,0.0,4,0.0,0.0812807881773399,0.0,0.55,0.0,G0_coarse_direct,L2D_03_02_220710,0.21151153746435053
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,4,0.0,4,0.0,0.022167487684729065,0.0,0.55,0.0,G0_coarse_direct,L2D_03_03_220710,0.2146227638060669
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,4,0.0,4,0.0,0.04310344827586207,0.0,0.55,0.0,G0_coarse_direct,L2D_04_00_220710,0.2135208711433757
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,4,0.0,4,0.0,0.06896551724137931,0.0,0.55,0.0,G0_coarse_direct,L2D_04_01_220710,0.21215970961887476
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,4,0.0,4,0.0,0.04310344827586207,0.0,0.55,0.0,G0_coarse_direct,L2D_04_02_220710,0.2135208711433757
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,4,0.0,4,0.0,0.07112068965517242,0.0,0.55,0.0,G0_coarse_direct,L2D_04_03_220710,0.21204627949183302
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0,,0,,0.0812807881773399,0.0,0.55,0.0,G0_coarse_direct,L2D_05_00_220710,0.3091322470632816
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0,,0,,0.06896551724137931,0.0,0.55,0.0,G0_coarse_direct,L2D_05_01_220710,0.310079575596817
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0,,0,,0.059113300492610835,0.0,0.55,0.0,G0_coarse_direct,L2D_05_02_220710,0.3108374384236453
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0,,0,,0.0812807881773399,0.0,0.55,0.0,G0_coarse_direct,L2D_05_03_220710,0.3091322470632816
4,1,0.0,0.25,0.0,0.25,,0.0,,,0,,0,,0.09151193633952254,0.0,0.55,0.0,G0_coarse_direct,L2D_06_00_220710,0.1260610079575597
4,1,0.0,0.25,0.0,0.25,,0.0,,,0,,0,,0.09151193633952254,0.0,0.55,0.0,G0_coarse_direct,L2D_06_01_220710,0.1260610079575597
4,1,0.0,0.25,0.0,0.25,,0.0,,,0,,0,,0.09151193633952254,0.0,0.55,0.0,G0_coarse_direct,L2D_06_02_220710,0.1260610079575597
4,1,0.0,0.25,0.0,0.25,,0.0,,,0,,0,,0.09151193633952254,0.0,0.55,0.0,G0_coarse_direct,L2D_06_03_220710,0.1260610079575597
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0,,0,,0.1989389920424403,0.0,0.55,0.0,G0_coarse_direct,L2D_07_00_220710,0.3000816159967354
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0,,0,,0.246684350132626,0.0,0.55,0.0,G0_coarse_direct,L2D_07_01_220710,0.2964088961436442
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0,,0,,0.246684350132626,0.0,0.55,0.0,G0_coarse_direct,L2D_07_02_220710,0.2964088961436442
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0,,0,,0.2440318302387268,0.0,0.55,0.0,G0_coarse_direct,L2D_07_03_220710,0.29661293613548256
